"LOC_ID","ANIMAL_ID","SO"
72,13,1
93,27,1
132,38,1
113,15,1
103,42,1
76,3,1
76,12,1
114,45,1
114,46,1
58,47,1
58,48,1
114,2,1
104,20,1
114,35,1
114,35,1
114,36,1
76,1,1
116,16,1
146,43,1
129,43,1
131,43,1
86,28,1
57,25,1
70,28,1
88,44,1
27,5,1
29,25,1
74,26,1
59,10,1
42,5,1
104,19,1
103,32,1
85,28,1
86,29,1
102,33,1
43,6,1
87,21,1
103,17,1
71,21,1
58,20,1
86,39,1
86,30,1
145,34,1
71,39,1
59,26,1
59,9,1
27,11,1
55,49,1
23,50,1
62,7,1
72,40,1
72,41,1
101,35,1
57,41,1
57,41,1
101,36,1
77,8,1
103,17,1
70,37,1
103,18,1
104,19,1
42,21,1
87,28,1
76,10,1
90,14,1
70,29,1
87,30,1
72,31,1
59,23,1
59,24,1
76,4,1
42,25,1
43,22,1
