"loc_id","X_COORD","Y_COORD","V4"
1,342000,5252260,0
2,342000,5247260,0
3,342000,5242260,0
4,342000,5237260,0
5,342000,5232260,0
6,342000,5227260,0
7,342000,5222260,0
8,342000,5217260,0
9,342000,5212260,0
10,342000,5207260,1
11,342000,5202260,1
12,342000,5197260,1
13,342000,5192260,1
14,342000,5187260,1
15,342000,5182260,0
16,342000,5177260,1
17,337000,5252260,0
18,337000,5247260,0
19,337000,5242260,0
20,337000,5237260,0
21,337000,5232260,0
22,337000,5227260,0
23,337000,5222260,1
24,337000,5217260,1
25,337000,5212260,1
26,337000,5207260,1
27,337000,5202260,1
28,337000,5197260,1
29,337000,5192260,1
30,337000,5187260,1
31,337000,5182260,1
32,337000,5177260,1
33,332000,5252260,0
34,332000,5247260,0
35,332000,5242260,0
36,332000,5237260,0
37,332000,5232260,0
38,332000,5227260,1
39,332000,5222260,1
40,332000,5217260,1
41,332000,5212260,1
42,332000,5207260,1
43,332000,5202260,1
44,332000,5197260,1
45,332000,5192260,0
46,332000,5187260,1
47,332000,5182260,1
48,332000,5177260,1
49,327000,5252260,0
50,327000,5247260,0
51,327000,5242260,0
52,327000,5237260,0
53,327000,5232260,0
54,327000,5227260,1
55,327000,5222260,1
56,327000,5217260,1
57,327000,5212260,1
58,327000,5207260,1
59,327000,5202260,1
60,327000,5197260,1
61,327000,5192260,1
62,327000,5187260,1
63,327000,5182260,1
64,327000,5177260,1
65,322000,5252260,0
66,322000,5247260,0
67,322000,5242260,0
68,322000,5237260,0
69,322000,5232260,0
70,322000,5227260,1
71,322000,5222260,1
72,322000,5217260,1
73,322000,5212260,1
74,322000,5207260,1
75,322000,5202260,1
76,322000,5197260,1
77,322000,5192260,1
78,322000,5187260,1
79,322000,5182260,1
80,322000,5177260,0
81,317000,5252260,0
82,317000,5247260,0
83,317000,5242260,0
84,317000,5237260,1
85,317000,5232260,1
86,317000,5227260,1
87,317000,5222260,1
88,317000,5217260,1
89,317000,5212260,1
90,317000,5207260,1
91,317000,5202260,1
92,317000,5197260,1
93,317000,5192260,1
94,317000,5187260,1
95,317000,5182260,0
96,317000,5177260,0
97,312000,5252260,0
98,312000,5247260,1
99,312000,5242260,1
100,312000,5237260,1
101,312000,5232260,1
102,312000,5227260,1
103,312000,5222260,1
104,312000,5217260,1
105,312000,5212260,1
106,312000,5207260,0
107,312000,5202260,0
108,312000,5197260,1
109,312000,5192260,0
110,312000,5187260,0
111,312000,5182260,0
112,312000,5177260,0
113,307000,5252260,1
114,307000,5247260,1
115,307000,5242260,1
116,307000,5237260,1
117,307000,5232260,1
118,307000,5227260,1
119,307000,5222260,1
120,307000,5217260,1
121,307000,5212260,0
122,307000,5207260,0
123,307000,5202260,0
124,307000,5197260,1
125,307000,5192260,1
126,307000,5187260,0
127,307000,5182260,0
128,307000,5177260,0
129,302000,5252260,1
130,302000,5247260,1
131,302000,5242260,1
132,302000,5237260,1
133,302000,5232260,1
134,302000,5227260,1
135,302000,5222260,1
136,302000,5217260,0
137,302000,5212260,0
138,302000,5207260,0
139,302000,5202260,0
140,302000,5197260,1
141,302000,5192260,0
142,302000,5187260,0
143,302000,5182260,0
144,302000,5177260,0
145,297000,5252260,1
146,297000,5247260,1
147,297000,5242260,0
148,297000,5237260,0
149,297000,5232260,1
150,297000,5227260,1
151,297000,5222260,0
152,297000,5217260,0
153,297000,5212260,0
154,297000,5207260,0
155,297000,5202260,0
156,297000,5197260,0
157,297000,5192260,0
158,297000,5187260,0
159,297000,5182260,0
160,297000,5177260,0
